Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Attrition
38,3,371,2,2,3,2,4,3,1,7,4,3,3944,4306,5,2,3,0,6,3,3,2,2,0
24,1,673,2,11,2,5,1,4,2,5,3,1,4011,8232,0,1,4,1,5,2,4,2,3,0
36,3,1218,3,9,4,2,3,2,1,9,1,3,3407,6986,7,1,2,0,10,3,5,3,3,1
34,3,419,2,7,4,2,1,3,3,6,2,3,11994,21293,0,1,3,0,13,3,12,6,11,0
21,3,391,2,15,2,2,3,3,1,7,4,3,1232,19281,1,1,4,0,0,3,0,0,0,0
34,3,699,2,6,1,4,2,3,1,7,1,3,2960,17102,2,1,3,0,8,3,4,2,3,1
53,3,1282,2,5,3,5,3,3,5,3,3,1,19094,10735,4,1,4,1,26,2,14,13,8,0
32,2,1125,2,16,1,2,2,1,1,7,1,3,3919,4681,1,2,2,0,10,3,10,2,7,1
42,3,691,3,8,4,3,3,3,2,8,2,2,6825,21173,0,1,4,1,10,3,9,7,2,0
44,3,477,2,7,4,4,1,2,3,1,4,2,10248,2094,3,1,4,1,24,3,22,6,17,0
46,3,705,3,2,4,3,2,3,5,3,1,3,18947,22822,3,1,4,0,22,2,2,2,1,0
33,3,924,2,2,3,4,3,3,1,2,4,3,2496,6670,4,1,4,0,7,3,1,1,0,0
44,3,1459,2,10,4,5,4,3,2,1,4,2,6465,19121,2,2,4,0,9,4,4,2,3,0
30,3,125,2,9,2,4,4,2,1,2,3,3,2206,16117,1,1,1,0,10,3,10,0,8,0
39,3,895,3,5,3,6,4,3,2,9,4,2,2086,3335,3,1,3,1,19,4,1,0,0,1
24,3,813,2,1,3,4,2,3,1,7,4,2,2293,3020,2,2,1,1,6,2,2,0,0,1
43,3,1273,2,2,2,4,4,4,1,7,3,1,2645,21923,1,1,4,2,6,2,5,3,4,0
50,3,869,3,3,2,3,1,2,1,9,3,2,2683,3810,1,2,3,0,3,3,3,2,2,1
35,3,890,3,2,3,3,4,3,1,9,4,2,2014,9687,1,1,1,0,2,3,2,2,2,0
36,3,852,2,5,4,2,2,2,1,7,1,2,3419,13072,9,2,4,1,6,4,1,1,0,0
33,2,1141,3,1,3,2,3,4,2,8,1,2,5376,3193,2,1,1,2,10,3,5,3,3,0
35,3,464,2,4,2,5,3,3,1,2,4,1,1951,10910,1,1,3,1,1,3,1,0,0,0
27,3,1240,2,2,4,2,4,3,1,2,1,1,2341,19715,1,1,4,1,1,3,1,0,0,0
26,3,1357,2,25,3,2,1,1,1,2,3,3,2293,10558,1,1,3,0,1,2,1,0,1,1
27,2,994,3,8,3,2,4,3,3,8,3,3,8726,2975,1,1,4,0,9,3,9,8,7,0
30,2,721,2,1,2,4,3,3,2,2,4,3,4011,10781,1,1,4,0,12,3,12,8,7,0
41,3,1360,2,12,3,6,2,3,5,6,3,2,19545,16280,1,1,4,0,23,3,22,15,8,1
34,1,1065,3,23,4,3,2,3,2,8,3,3,4568,10034,0,1,3,0,10,3,9,5,7,0
37,3,408,2,19,2,2,2,3,1,7,2,2,3022,10227,4,1,1,0,8,3,1,0,0,0
46,2,1211,3,5,4,3,1,3,2,8,4,3,5772,20445,4,2,3,0,14,3,9,6,8,0
35,3,1229,2,8,1,2,4,4,1,2,4,2,2269,4892,1,1,4,0,1,3,1,0,1,0
48,3,626,2,1,2,2,1,2,3,2,3,3,5381,19294,9,2,4,0,23,3,1,0,0,1
28,3,1434,2,5,4,6,3,3,1,2,3,3,3441,11179,1,2,3,0,2,2,2,2,2,1
44,3,1488,3,1,5,3,2,3,2,8,1,1,5454,4009,5,2,3,1,9,2,4,3,3,0
35,1,1097,2,11,2,4,3,2,3,1,1,2,9884,8302,2,2,3,1,10,3,4,0,3,0
26,3,1443,3,23,3,3,3,2,2,8,4,2,4157,21436,7,2,3,1,5,2,2,2,0,0
33,2,515,2,1,2,2,1,3,3,6,4,3,13458,15146,1,2,3,0,15,3,15,14,12,0
35,2,853,3,18,5,2,2,3,3,8,1,2,9069,11031,1,1,4,1,9,2,9,8,8,0
35,3,1142,2,23,4,4,3,3,1,2,1,2,4014,16002,3,2,3,1,4,3,2,2,2,0
31,3,655,2,7,4,2,4,3,2,2,4,1,5915,9528,3,1,4,1,10,2,7,7,7,0
37,3,1115,2,1,4,2,1,2,2,5,3,1,5993,2689,1,1,3,1,7,4,7,5,7,0
32,3,427,2,1,3,4,1,3,2,5,4,2,6162,10877,1,2,2,1,9,3,9,8,8,0
38,2,653,2,29,5,2,4,3,2,2,4,3,2406,5456,1,1,4,0,10,3,10,3,9,0
50,3,989,2,7,2,4,2,2,5,6,3,1,18740,16701,5,2,4,1,29,2,27,3,8,0
59,3,1435,3,25,3,2,1,3,3,8,1,3,7637,2354,7,1,4,0,28,2,21,16,9,0
36,3,1223,2,8,3,6,3,3,3,1,3,1,10096,8202,1,1,2,3,17,3,17,14,8,0
55,3,836,2,8,3,4,4,3,4,3,3,1,14756,19730,2,2,3,3,21,3,5,0,2,0
36,2,1195,2,11,3,2,2,2,2,5,2,3,6499,22656,1,1,3,0,6,3,6,5,3,0
45,3,1339,2,7,3,2,2,3,3,7,1,1,9724,18787,2,1,3,1,25,3,1,0,0,0
35,2,664,2,1,3,4,2,3,1,7,1,2,2194,5868,4,1,4,1,5,2,3,2,2,0
36,3,318,2,9,3,4,4,2,1,7,3,2,3388,21777,0,2,1,1,2,2,1,0,0,1
59,2,1225,3,1,1,2,1,2,2,8,3,3,5473,24668,7,1,4,0,20,2,4,3,3,0
29,3,1328,2,2,3,2,3,3,1,7,2,2,2703,4956,0,1,4,1,6,3,5,4,4,0
31,3,1082,2,1,4,4,3,3,1,7,2,3,2501,18775,1,1,2,0,1,3,1,1,0,0
32,3,548,2,1,3,2,2,3,2,7,2,2,6220,7346,1,1,2,2,10,3,10,4,9,0
36,3,132,2,6,3,2,2,4,1,2,4,2,3038,22002,3,1,2,0,5,3,1,0,0,0
31,3,746,2,8,4,2,3,3,2,5,4,3,4424,20682,1,1,4,0,11,3,11,7,8,0
35,3,776,3,1,4,3,3,2,2,8,1,3,4312,23016,0,1,2,0,16,3,15,13,8,0
45,3,193,2,6,4,5,4,3,3,6,1,2,13245,15067,4,2,2,0,17,4,0,0,0,0
37,3,397,2,7,4,4,1,3,3,6,3,3,13664,25258,4,1,1,0,16,4,5,2,2,0
46,3,945,1,5,2,4,2,3,2,4,2,1,5021,10425,8,2,4,1,16,3,4,2,2,0
30,3,852,2,1,1,2,4,2,2,2,4,2,5126,15998,1,2,3,2,10,2,10,8,0,0
35,3,1214,2,1,3,4,2,2,1,7,3,3,2859,26278,1,1,1,0,6,3,6,4,4,0
55,3,111,3,1,2,2,1,3,3,8,4,2,10239,18092,3,1,4,1,24,3,1,0,0,0
38,1,573,2,6,3,4,2,1,2,7,4,1,5329,15717,7,2,4,3,17,3,13,11,9,0
34,3,1153,2,1,2,4,1,3,2,5,2,2,4325,17736,1,1,3,0,5,3,5,2,3,0
56,3,1400,2,7,3,2,4,1,3,5,4,3,7260,21698,4,1,1,0,37,2,6,4,2,0
23,3,541,3,2,1,6,3,3,1,9,1,1,2322,9518,3,1,3,1,3,3,0,0,0,0
51,3,432,2,9,4,2,4,3,1,2,4,2,2075,18725,3,1,2,2,10,3,4,2,3,0
30,3,288,2,2,3,2,3,2,2,1,4,2,4152,15830,1,1,1,3,11,3,11,10,8,0
46,3,669,3,9,2,4,3,2,3,8,4,3,9619,13596,1,1,4,0,9,3,9,8,7,1
40,2,530,2,1,4,2,3,2,4,1,2,2,13503,14115,1,1,4,1,22,2,22,3,11,0
51,3,632,3,21,4,3,3,3,2,8,4,3,5441,8423,0,2,4,0,11,1,10,7,0,0
30,3,1334,3,4,2,4,3,2,2,8,2,1,5209,19760,1,2,2,3,11,2,11,8,7,0
46,2,638,2,1,3,4,3,2,3,1,1,2,10673,3142,2,2,3,1,21,2,10,9,5,0
32,3,1093,3,6,4,4,2,3,2,8,3,3,5010,24301,1,1,1,0,12,3,11,8,7,0
54,3,1217,2,2,4,6,1,3,3,6,3,2,13549,24001,9,1,1,1,16,1,4,3,3,0
24,3,1353,3,3,2,5,1,3,2,8,3,2,4999,17519,0,1,1,1,4,2,3,2,2,0
28,1,120,3,4,3,4,2,3,2,8,3,2,4221,8863,1,1,2,0,5,4,5,4,4,0
58,3,682,3,10,4,4,4,3,4,8,3,3,13872,24409,0,1,3,0,38,2,37,10,8,0
44,1,489,2,23,3,4,2,3,2,2,2,2,2042,25043,4,1,3,1,17,4,3,2,2,0
37,3,807,1,6,4,1,3,3,1,4,1,1,2073,23648,4,2,4,0,7,3,3,2,2,1
32,3,827,2,1,1,2,4,3,1,7,1,3,2956,15178,1,1,4,0,1,3,1,0,0,0
20,2,871,2,6,3,2,4,2,1,2,4,3,2926,19783,1,2,2,0,1,3,1,0,0,1
34,3,665,2,6,4,5,1,3,2,7,3,3,4809,12482,1,1,3,0,16,3,16,13,10,0
37,1,1040,2,2,2,2,3,2,2,1,4,1,5163,15850,5,1,4,1,17,4,1,0,0,0
59,1,1420,1,2,4,1,3,2,5,3,4,2,18844,21922,9,1,4,1,30,3,3,2,2,0
50,2,1115,2,1,3,2,1,3,5,6,2,2,18172,9755,3,2,1,0,28,2,8,3,7,0
25,3,240,3,5,3,3,3,2,2,8,3,3,5744,26959,1,2,4,0,6,3,6,4,3,1
25,3,1280,2,7,1,4,4,2,1,7,4,2,2889,26897,1,1,3,2,2,3,2,2,1,0
22,3,534,2,15,3,4,2,3,1,2,4,3,2871,23785,1,1,3,0,1,3,0,0,0,0
51,2,1456,2,1,4,4,1,2,3,1,1,3,7484,25796,3,1,3,0,23,2,13,12,8,0
34,2,658,2,7,3,2,1,1,2,2,3,3,6074,22887,1,2,4,0,9,3,9,7,6,1
54,1,142,1,26,3,1,4,4,4,3,4,3,17328,13871,2,2,3,0,23,3,5,3,4,0
24,3,1127,2,18,1,2,2,3,1,2,3,2,2774,13257,0,1,3,1,6,3,5,3,2,0
34,3,1031,2,6,4,2,3,2,2,7,2,1,4505,15000,6,1,3,1,12,3,1,0,0,0
37,3,1189,3,3,3,2,3,3,3,8,4,3,7428,14506,2,1,1,0,12,3,5,3,3,0
34,3,1354,2,5,3,4,3,2,3,3,1,3,11631,5615,2,1,4,0,14,3,11,10,8,0
36,2,1467,3,11,2,6,2,3,3,8,4,2,9738,22952,0,1,3,1,10,3,9,7,8,0
36,3,922,2,3,2,2,1,3,1,2,4,1,2835,2561,5,1,1,1,7,3,1,0,0,0
43,2,394,3,26,2,2,3,3,4,3,4,2,16959,19494,1,2,4,2,25,4,25,12,12,0
30,2,1312,2,23,3,2,1,1,1,7,3,1,2613,22310,1,1,3,3,10,2,10,7,9,0
33,1,750,3,22,2,3,3,3,2,8,2,2,6146,15480,0,1,1,1,8,4,7,7,7,0
56,3,441,2,14,4,2,2,3,1,7,2,2,4963,4510,9,2,1,3,7,3,5,4,3,1
51,3,684,2,6,3,2,1,3,5,6,3,3,19537,6462,7,1,3,0,23,3,20,18,15,0
31,3,249,3,6,4,2,2,1,2,8,3,2,6172,20739,4,2,2,0,12,2,7,7,7,1
26,3,841,2,6,3,5,3,2,1,7,2,2,2368,23300,1,1,3,0,5,2,5,4,3,0
58,3,147,2,23,4,4,4,3,3,1,4,2,10312,3465,1,1,4,1,40,2,40,10,6,1
19,3,528,3,22,1,3,4,3,1,9,3,3,1675,26820,1,2,4,0,0,2,0,0,0,1
22,3,594,2,2,1,6,3,3,1,2,4,2,2523,19299,0,1,3,1,3,3,2,1,1,0
49,3,470,2,20,4,4,3,3,2,5,1,2,6567,5549,1,1,3,0,16,2,15,11,11,0
43,2,957,2,28,3,4,2,4,1,7,3,3,4739,16090,4,1,4,0,18,3,3,2,2,0
50,2,809,3,12,3,3,3,3,3,8,4,3,9208,6645,4,1,4,0,16,3,2,2,1,0
31,3,542,3,20,3,2,2,1,2,8,3,2,4559,24788,3,2,3,1,4,3,2,2,2,1
41,3,802,3,9,1,2,3,3,3,8,3,1,8189,21196,3,2,3,1,12,3,9,7,7,0
26,3,1355,1,25,1,2,3,3,1,4,3,2,2942,8916,1,1,4,1,8,3,8,7,7,0
36,3,216,2,6,2,4,2,3,2,5,2,1,4941,2819,6,1,4,2,7,3,3,2,1,0
51,2,1150,2,8,4,2,1,1,3,5,4,3,10650,25150,2,1,4,0,18,3,4,2,3,1
39,3,1329,3,4,4,2,4,2,2,8,3,2,5902,14590,4,1,3,1,17,4,15,11,9,0
25,3,959,3,28,3,2,1,2,2,8,3,2,8639,24835,2,1,4,0,6,3,2,2,2,0
30,3,1240,1,9,3,1,3,3,2,4,4,2,6347,13982,0,2,4,0,12,1,11,9,7,0
32,3,1033,2,9,3,4,1,3,1,2,1,3,4200,10224,7,1,1,0,10,4,5,4,4,1
45,3,1316,2,29,3,4,3,3,1,7,4,3,3452,9752,5,1,2,0,9,2,6,5,3,0
38,3,364,2,3,5,6,4,3,2,7,3,3,4317,2302,3,2,2,0,19,3,3,2,2,0
30,3,438,2,18,3,2,1,3,1,7,3,3,2632,23910,1,1,3,0,5,2,5,4,4,0
32,2,689,3,9,2,4,4,1,2,8,4,1,4668,22812,0,1,4,3,9,4,8,7,7,0
30,3,201,2,5,3,6,4,3,1,7,1,1,3204,10415,5,1,4,1,8,3,3,2,2,0
30,3,1427,2,2,1,4,2,2,1,2,4,3,2720,11162,0,1,4,0,6,3,5,3,2,0
41,2,857,2,10,3,2,4,2,4,3,1,1,17181,12888,4,1,2,1,21,2,7,6,7,0
41,3,933,2,9,4,2,3,3,1,2,1,2,2238,6961,2,1,4,1,7,3,5,0,4,0
19,3,1181,2,3,1,4,2,3,1,2,2,3,1483,16102,1,1,4,0,1,3,1,0,0,0
40,2,1395,2,26,3,4,2,3,2,7,2,1,5605,8504,1,1,1,1,20,3,20,7,13,0
35,3,662,3,1,5,3,3,3,3,8,2,2,7295,11439,1,1,1,2,10,3,10,8,6,0
53,3,1436,3,6,2,3,2,3,2,9,3,2,2306,16047,2,2,4,1,13,1,7,7,5,0
45,3,194,2,9,3,2,2,3,2,2,2,1,2348,10901,8,1,3,1,20,1,17,9,15,0
32,2,967,3,8,3,3,2,3,3,8,4,3,8998,15589,1,1,4,0,9,3,9,8,7,0
29,1,1496,2,1,1,6,4,3,2,5,3,2,4319,26283,1,1,1,1,10,3,10,7,9,0
51,3,1169,2,7,4,4,2,2,2,5,3,2,6132,13983,2,1,3,0,10,3,1,0,0,0
58,3,1145,2,9,3,4,2,2,1,7,2,2,3346,11873,4,2,2,1,9,2,1,0,0,0
40,3,630,3,4,4,3,3,2,3,8,4,2,10855,8552,7,1,1,1,15,2,12,11,11,0
34,2,303,3,2,4,3,3,3,1,9,3,2,2231,11314,6,1,4,1,6,3,4,3,2,0
22,3,1256,2,19,1,4,3,3,1,7,4,2,2323,11992,1,1,1,2,2,3,2,2,2,0
27,1,691,2,9,3,4,4,3,1,7,2,1,2024,5970,6,1,4,1,6,1,2,2,2,0
28,3,440,2,21,3,4,3,3,1,7,4,2,2713,6672,1,1,3,1,5,1,5,2,2,0
57,3,334,2,24,2,2,3,4,3,1,4,1,9439,23402,3,2,2,1,12,1,5,3,4,0
27,1,1450,2,3,3,4,3,2,1,7,3,1,2566,25326,1,2,4,1,1,2,1,1,1,0
50,3,1452,2,11,3,2,3,3,5,3,2,3,19926,17053,3,1,2,0,21,3,5,4,4,0
41,3,465,2,14,3,2,1,3,1,7,3,1,2451,4609,4,1,1,1,13,3,9,8,8,0
30,3,1339,3,5,3,2,2,3,3,8,4,2,9419,8053,2,1,3,1,12,3,10,9,4,0
38,3,702,3,1,4,2,1,2,2,8,4,3,8686,12930,4,1,3,0,12,4,8,3,7,0
32,3,120,2,6,5,2,3,3,1,7,3,3,3038,12430,3,1,1,0,8,3,5,4,4,0
27,3,1157,2,17,3,6,3,3,1,7,2,2,3058,13364,0,2,4,1,6,2,5,2,1,0
19,2,602,3,1,1,6,3,1,1,9,1,3,2325,20989,0,1,1,0,1,4,0,0,0,1
36,2,1480,2,3,2,4,4,3,1,2,2,3,2088,15062,4,1,3,0,13,2,8,7,2,0
30,1,111,2,9,3,4,3,3,2,2,1,1,3072,11012,1,1,3,2,12,3,12,9,10,0
45,3,1268,3,4,2,2,3,3,2,8,1,1,5006,6319,4,2,1,1,9,4,5,4,3,0
56,3,713,2,8,3,2,3,3,1,7,1,1,4257,13939,4,2,3,1,19,3,2,2,2,0
33,3,134,2,2,3,2,3,3,1,7,4,3,2500,10515,0,1,1,0,4,4,3,1,2,0
19,3,303,2,2,3,2,2,2,1,2,4,3,1102,9241,1,1,3,0,1,2,1,0,0,1
46,3,526,3,1,2,3,2,3,3,8,1,1,10453,2137,1,1,3,3,24,3,24,13,7,0
38,3,1380,2,9,2,2,3,3,1,2,4,3,2288,6319,1,1,3,0,2,3,2,2,1,0
31,3,140,2,12,1,4,3,3,1,7,4,2,3929,6984,8,2,3,1,7,3,4,2,2,0
34,3,629,2,27,2,4,4,3,1,7,2,3,2311,5711,2,1,4,0,9,3,3,2,2,0
41,3,1356,3,20,2,3,2,3,1,9,2,3,3140,21728,1,2,4,0,4,2,4,3,2,1
50,3,328,2,1,3,4,3,2,1,2,3,2,3690,3425,2,1,4,1,5,2,3,2,2,0
53,3,1084,2,13,2,4,4,4,2,5,1,1,4450,26250,1,1,3,2,5,3,4,2,3,0
33,3,931,2,14,3,4,4,3,1,7,2,2,2756,4673,1,1,4,1,8,3,8,7,6,0
40,3,989,2,4,1,4,4,3,5,3,3,2,19033,6499,1,1,2,1,21,3,20,8,9,0
55,3,692,2,14,4,4,3,4,5,6,2,3,18722,13339,8,1,4,0,36,3,24,15,15,0
34,2,1069,2,2,1,2,4,2,2,5,3,2,9547,14074,1,1,3,0,10,2,10,9,9,0
51,3,313,2,3,3,4,4,3,4,1,2,3,13734,7192,3,1,3,0,21,3,7,7,0,0
52,3,699,2,1,4,2,3,2,5,3,3,2,19999,5678,0,1,1,1,34,3,33,18,9,0
27,3,894,2,9,3,4,4,3,1,7,2,3,2279,11781,1,1,4,0,7,2,7,7,3,0
35,3,556,2,23,2,2,2,2,2,5,3,2,5916,15497,3,2,1,0,8,3,1,0,1,1
43,1,1344,2,7,3,4,4,4,1,7,4,1,2089,5228,4,1,4,3,7,4,5,4,2,0
45,1,1195,2,2,2,4,1,2,4,3,4,2,16792,20462,9,1,4,1,22,3,20,8,8,0
37,3,290,2,21,3,2,2,4,1,7,1,2,3564,22977,1,2,1,1,8,2,8,7,7,0
35,2,138,2,2,3,4,2,3,2,2,2,3,4425,15986,5,1,4,0,10,3,6,2,2,0
42,1,926,2,21,2,4,3,3,2,5,3,1,5265,16439,2,1,2,1,11,3,5,3,2,0
38,3,1261,2,2,4,2,4,3,2,5,3,2,6553,7259,9,1,2,0,14,3,1,0,0,0
38,3,1084,2,29,3,6,4,3,2,5,4,2,6261,4185,3,1,1,1,9,1,7,7,7,0
27,2,472,2,1,1,6,3,2,2,5,1,2,4298,9679,5,1,3,1,6,3,2,2,0,0
49,1,1002,2,18,4,2,4,3,2,5,4,1,6804,23793,1,2,1,2,7,3,7,7,7,0
34,2,878,2,10,4,4,4,3,1,7,3,1,3815,5972,1,2,4,1,5,4,5,3,0,0
40,3,905,2,19,2,4,3,3,2,2,4,2,2741,16523,8,2,3,1,15,4,7,2,7,0
38,3,1180,2,29,1,4,2,3,2,1,1,2,6673,11354,7,2,2,0,17,3,1,0,0,1
29,3,121,3,27,3,3,2,3,3,8,4,2,7639,24525,1,1,4,3,10,2,10,4,9,1
22,3,1136,2,5,3,2,4,4,1,7,2,1,2328,12392,1,2,1,1,4,2,4,2,2,0
36,2,635,2,18,1,4,2,3,1,2,4,3,2153,7703,1,1,1,0,8,3,8,1,7,0
40,1,1151,2,9,5,2,4,2,2,1,4,2,4876,14242,9,1,4,1,5,1,3,2,2,0
46,3,644,2,1,4,4,4,3,3,1,1,1,9396,12368,7,1,3,1,17,3,4,2,3,0
32,3,1045,3,4,4,4,4,1,3,8,4,2,10400,25812,1,1,3,0,14,2,14,8,8,1
30,1,829,2,1,1,2,3,2,3,5,3,3,8474,20925,1,1,3,0,12,3,11,8,8,0
27,2,1242,3,20,3,2,4,3,2,8,3,3,9981,12916,1,1,4,0,7,3,7,7,7,0
51,3,1469,2,8,4,2,2,2,3,6,2,2,12490,15736,5,1,4,2,16,1,10,9,7,0
30,3,1005,2,3,3,6,4,3,1,7,1,3,2657,8556,5,2,3,0,8,3,5,2,4,1
41,3,896,3,6,3,2,4,3,3,3,4,3,13591,14674,3,2,3,0,16,3,1,0,0,0
30,2,334,3,26,4,3,3,2,2,8,1,3,6696,22967,5,1,3,0,9,2,6,3,1,1
29,3,992,2,1,3,6,3,3,1,7,3,3,2058,19757,0,1,4,0,7,2,6,2,5,1
45,1,1052,3,6,3,4,4,2,3,8,4,3,8865,16840,6,1,4,0,23,3,19,7,8,0
54,3,1147,3,3,3,3,4,3,2,8,1,2,5940,17011,2,1,4,1,16,3,6,2,5,0
36,3,1396,2,5,2,2,4,3,2,2,2,3,5914,9945,8,1,4,0,16,4,13,11,7,0
33,3,147,2,4,4,4,3,2,1,7,2,2,2622,13248,6,1,4,0,7,3,3,2,1,0
37,2,663,2,11,3,5,2,3,3,6,4,1,12185,10056,1,2,3,3,10,3,10,8,7,0
38,3,119,3,3,3,2,1,3,3,8,3,1,10609,9647,0,1,3,2,17,2,16,10,13,0
31,1,979,2,1,4,4,3,1,2,5,3,2,4345,4381,0,1,4,1,6,3,5,4,4,0
59,3,142,2,3,3,2,3,2,1,7,4,2,2177,8456,3,1,1,1,7,3,1,0,0,0
37,2,319,3,4,4,3,1,3,1,9,4,1,2793,2539,4,1,3,1,13,3,9,8,8,0
29,2,1413,3,1,1,4,2,3,3,8,4,2,7918,6599,1,1,4,1,11,3,11,10,1,0
35,2,944,3,1,3,3,3,3,3,8,3,3,8789,9096,1,1,1,0,10,4,10,7,8,0
29,3,896,2,18,1,4,3,2,1,7,4,3,2389,14961,1,2,3,0,4,2,4,3,1,1
52,3,1323,2,2,3,2,3,2,1,2,4,3,3212,3300,7,1,2,0,6,2,2,2,2,0
42,3,532,2,4,2,6,3,3,5,3,4,2,19232,4933,1,1,4,0,22,3,22,17,15,0
59,3,818,1,6,2,4,2,3,1,4,3,2,2267,25657,8,1,4,0,7,2,2,2,2,0
50,3,854,3,1,4,4,4,3,5,3,4,1,19517,24118,3,1,3,1,32,2,7,0,6,0
33,3,813,2,14,3,4,3,3,1,2,4,2,2436,22149,5,2,3,1,8,1,5,4,4,1
43,3,1034,3,16,3,3,4,3,4,3,4,2,16064,7744,5,2,3,1,22,3,17,13,9,0
33,3,465,2,2,2,2,1,3,1,2,1,2,2707,21509,7,1,1,0,13,4,9,7,7,1
52,1,771,3,2,4,2,1,2,5,3,3,3,19068,21030,1,2,4,0,33,4,33,7,12,0
32,3,1401,3,4,2,2,3,3,1,9,2,2,3931,20990,2,1,1,1,6,3,4,3,2,0
32,3,515,2,1,3,2,4,2,1,2,3,3,3730,9571,0,2,4,0,4,1,3,2,2,1
39,3,1431,2,1,4,4,3,3,1,2,3,1,2232,15417,7,1,3,3,7,3,3,2,2,0
32,1,976,3,26,4,3,3,3,2,8,4,2,4465,12069,0,1,1,0,4,3,3,2,2,0
41,3,1411,2,19,2,2,3,3,2,7,1,1,3072,19877,2,1,1,2,17,2,1,0,0,0
40,3,1300,2,24,2,6,1,3,2,7,4,1,3319,24447,1,1,1,2,9,3,9,8,7,0
45,3,252,2,1,3,5,3,4,5,3,4,2,19202,15970,0,1,3,1,25,3,24,0,7,0
31,2,1327,2,3,4,4,2,3,3,6,3,1,13675,13523,9,1,1,1,9,3,2,2,2,0
33,3,832,2,5,4,2,3,2,1,7,4,2,2911,14776,1,1,3,1,2,2,2,2,2,0
34,3,470,2,2,4,2,4,2,2,5,1,2,5957,23687,6,1,2,1,13,3,11,9,9,0
37,3,1017,2,1,2,4,3,2,1,7,1,2,3920,18697,2,1,1,1,17,2,3,1,2,0
45,2,1199,2,7,4,2,1,4,2,5,3,2,6434,5118,4,1,4,1,9,3,3,2,2,0
37,2,504,2,10,3,4,1,3,3,5,3,1,10048,22573,6,1,2,2,17,3,1,0,0,1
39,2,505,2,2,4,6,3,3,3,1,3,3,10938,6420,0,1,4,0,20,3,19,6,8,0
29,3,665,2,15,3,2,3,3,1,7,4,3,2340,22673,1,1,1,0,6,3,6,5,5,0
42,3,916,2,17,2,2,4,4,2,7,1,3,6545,23016,3,2,3,0,10,3,3,2,2,0
29,3,1247,3,20,2,3,4,3,2,8,4,1,6931,10732,2,1,4,1,10,3,3,2,2,0
25,3,685,2,1,3,2,1,3,2,5,3,2,4898,7505,0,1,4,2,5,3,4,2,2,0
42,3,269,2,2,3,4,4,2,1,2,1,1,2593,8007,0,2,3,1,10,3,9,6,8,0
40,3,1416,2,2,2,4,1,3,5,6,3,1,19436,5949,0,1,4,1,22,3,21,7,9,0
51,3,833,2,1,3,2,3,3,1,7,4,2,2723,23231,1,1,2,0,1,2,1,0,0,0
